Youtube link,Product,Crop,Region,Language,Product Code,Month
https://www.youtube.com/watch?v=REU0ZuncQxE,Shriram 2110,Okra,Chhattisgarh,Hindi,2110018VS,9
https://www.youtube.com/watch?v=vxELtcWGSAE,Shriram Super 111,Wheat,Rajasthan,Hindi,S111001RW,9
https://www.youtube.com/watch?v=k6dS5FSGSlE,Shriram Super 5-SR-05,Wheat,All India,Hindi,SR05007RW,9
https://www.youtube.com/watch?v=F5sSHzKRnKk,Shriram Super 1-SR-14,Wheat,Gujarat,Gujarati,SR14006RW,9
https://www.youtube.com/watch?v=43jG47vwDog,Shriram Super Wheat,Wheat,All India,Hindi,#N/A,#N/A
https://www.youtube.com/watch?v=ltzlI-Pl_iY,Shriram Super 3-SR-72,Wheat,All India,Hindi,SR72008RW,9
https://www.youtube.com/watch?v=lkeOMuo7Zr0,Shriram 1666,Mustard,Rajasthan,Hindi,1666018HY,9
https://www.youtube.com/watch?v=CQvudK5Qcps,Shriram Super 1-SR-14,Wheat,All India,Hindi,SR14006RW,9
https://www.youtube.com/watch?v=3KyB2jrXk58&pp=0gcJCX4JAYcqIYzv,Shriram 1666,Mustard,All India,Hindi,1666018HY,9
https://www.youtube.com/watch?v=FcQXqYrLBVA,Shriram 1666,Mustard,Uttar Pradesh,Hindi,1666018HY,9
https://www.youtube.com/watch?v=tcK3GJ1ZnFU,Shriram 1666,Mustard,Rajasthan,Hindi,1666018HY,9
https://www.youtube.com/watch?v=dq_Ja801VeE&pp=0gcJCX4JAYcqIYzv,Shriram Dripit Vegetables - Grade I,All Crops,Maharashtra,Marathi,DRV1010PN,9
https://www.youtube.com/watch?v=7UrnQ6xxdlg,Shriram 1666,Mustard,Rajasthan,Hindi,1666018HY,9
https://www.youtube.com/watch?v=3q5SoMtUpeg,Shriram 1666,Mustard,Haryana,Hindi,1666018HY,9
https://www.youtube.com/watch?v=80fy-qd4WdE,Shriram SprayIT Cotton,Cotton,Gujarat,Gujarati,SPRC037PN,9
https://www.youtube.com/watch?v=9IRJgXA94rQ,Shriram 1666,Mustard,,Hindi,1666018HY,9
https://www.youtube.com/watch?v=td0axcYqfvs,Shriram Myro-NXT,Paddy,Rajasthan,Hindi,MYRO024PN,9
https://www.youtube.com/watch?v=a_GWTM9YwWU&pp=0gcJCX4JAYcqIYzv,Shriram 1666,Mustard,Rajasthan,Hindi,1666018HY,9
https://www.youtube.com/watch?v=drC3LLPeL_s,Shriram 1666,Mustard,All India,Hindi,1666018HY,9
https://www.youtube.com/watch?v=j3sinzbzsAg,Shriram 1666,Mustard,All India,Hindi,1666018HY,9
https://www.youtube.com/watch?v=y01eN20iIb8,Shriram SprayIT Cotton,Cotton,Gujarat,Gujarati,SPRC037PN,9
https://www.youtube.com/watch?v=gmbL6okG1pM,Shriram Chrone,Paddy,Haryana,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=zuhF3QPsKU0,Shriram Dripit Vegetables - Grade I,All Crops,Chhattisgarh,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=UiZ-xgNckrY&pp=0gcJCX4JAYcqIYzv,Shriram Borky,Pomegranate,Haryana,Hindi,BORK001PN,9
https://www.youtube.com/watch?v=0MHVGUy13us,Shriram Dripit Vegetables - Grade I,Tomato,Chhattisgarh,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=yUe_F6NVmQk,Shriram Chrone,Paddy,Haryana,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=sExqi9LgNVM,Shriram Dripit Vegetables - Grade I,Bottle Gourd,Gujarat,Gujarati,DRV1010PN,9
https://www.youtube.com/watch?v=HgsacSX83S0,Shriram Chrone,Paddy,Haryana,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=kjhjDLHluik,Shriram Calific,Pomegranate,Rajasthan,Hindi,CALI003PN,9
https://www.youtube.com/watch?v=8VPrHQNYr24,Shriram Dripit Vegetables - Grade I,"Chilli, Brinjal",Chhattisgarh,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=OmPIJXjLxso,Shriram Chrone,Paddy,Haryana,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=2kSw3PdG8B0&pp=0gcJCX4JAYcqIYzv,Shriram Dripit Vegetables - Grade I,Tomato,Chhattisgarh,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=j6MF7zLa-Uk,Shriram Ziva-NXT,Paddy,Haryana,Hindi,ZIVA053PN,9
https://www.youtube.com/watch?v=3zBgHqyYqzs,Shriram Chrone,Paddy,Haryana,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=2X4HA9yu71g,Shriram Dripit Vegetables - Grade I,Okra,Maharashtra,Marathi,DRV1010PN,9
https://www.youtube.com/watch?v=ZRmjf3RJdgc,Shriram Borky,Pomegranate,Rajasthan,Hindi,BORK001PN,9
https://www.youtube.com/watch?v=acb5MLG2V3U&pp=0gcJCX4JAYcqIYzv,Shriram Calific,Pomegranate,,Hindi,CALI003PN,9
https://www.youtube.com/watch?v=K-2lyNKm8dQ,Shriram Dripit Vegetables - Grade I,Chilli,Madhya Pradesh,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=xmvDrThArIY,Shriram Trexter,Chilli,Madhya Pradesh,Hindi,TREX051CP,9
https://www.youtube.com/watch?v=ZoWxq7qOC3I,Shriram SprayIt Vegetables,All Crops,All India,Hindi,SPRV040PN,9
https://www.youtube.com/watch?v=yyCeuh_fGv8,Shriram Chrone,Paddy,Punjab,Punjabi,CHRO050CP,9
https://www.youtube.com/watch?v=COrMOLIPKGI,Shriram Dripit Vegetables - Grade I,Bitter Gourd,Gujarat,Gujarati,DRV1010PN,9
https://www.youtube.com/watch?v=l9VG86h-Yas,SHRIRAM PROTOBUZ+,Groundnut,Gujarat,Gujarati,PROT031PN,9
https://www.youtube.com/watch?v=x_g_dcgIjg4&pp=0gcJCX4JAYcqIYzv,Shriram Dripit Vegetables - Grade I,Chilli,Gujarat,Gujarati,DRV1010PN,9
https://www.youtube.com/watch?v=0GDnlbaga4U&pp=0gcJCX4JAYcqIYzv,Shriram Dripit Vegetables - Grade I,Chilli,Gujarat,Gujarati,DRV1010PN,9
https://www.youtube.com/watch?v=px6GDQK9lco,SHRIRAM PROTOBUZ+,All Crops,Maharashtra,Marathi,PROT031PN,9
https://www.youtube.com/watch?v=YGLmwi9dLnc,SHRIRAM PROTOBUZ+,All Crops,"Andhra Pradesh, Telangana",Telugu,PROT031PN,9
https://www.youtube.com/watch?v=Al5Z5AnfbqY,SHRIRAM PROTOBUZ+,All Crops,Karnataka,Kannada,PROT031PN,9
https://www.youtube.com/watch?v=LwqrtCn1uQM,SHRIRAM PROTOBUZ+,All Crops,Gujarat,Gujarati,PROT031PN,9
